"pid","description","tid"
"752","Hypertrophic cardiomyopathy","15"
"753","Hepatomegaly (in some patients)","29"
"754","Liver dysfunction (in some patients)","29"
"755","Vomiting, recurrent, severe","33"
"756","Poor feeding","33"
"757","Encephalopathy, episodic","57"
"758","Delayed psychomotor development (in most patients)","57"
"759","Leigh syndrome (in some patients)","57"
"760","Episodic decompensation","61"
"761","Hypoglycemia","72"
"762","Elevated pyruvate (in most patients)","72"
"763","Elevated branched-chain amino acids (in most patients)","72"
"764","Elevated alpha-ketoglutarate (in most patients)","72"
"765","Decreased activities of the pyruvate dehydrogenase complex, the alpha-ketoglutarate dehydrogenase complex, and the branched-chain alpha-keto acid dehydrogenase complex","72"
"766","Abnormal liver enzymes (in some patients)","72"
"767","Onset usually in the neonatal period although later onset has been reported","73"
"768","Some patients may have normal psychomotor development","73"
"769","High mortality in infancy and early childhood (in some patients)","73"
"770","Acneform lesions","7"
"771","Papules along the eyebrows and palpebral fissures","9"
"772","Papules on the lips","11"
"773","Pharyngeal lesions","11"
"774","Thickened tongue","11"
"775","Laryngeal lesions resulting in hoarseness","19"
"776","Yellow, papular lesions of the lip, soft palate, pharynx","50"
"777","Thickened skin over the elbows and along the fingers","50"
"778","Verrucous lesions","50"
"779","Acneform facial lesions","50"
"780","Deposition of hyaline material in the skin","51"
"781","Patchy alopecia","54"
"782","Memory impairment","57"
"783","Episodic absence-like spells","57"
"784","Intracranial calcifications in the anterior mesial temporal lobes","57"
"785","Calcification of the amygdala and the amygdala-hippocampal transition area","57"
"786","Executive dysfunction","59"
"787","Paranoia","59"
"788","Aggressive behavior","59"
"789","Hallucinations","59"
"790","Absence of fear","59"
"791","Hoarse voice due to laryngeal infiltration","60"
"792","Onset in childhood","73"
"793","Neuropsychiatric manifestations are variable","73"
"794","Intrauterine growth retardation","2"
"795","Bitemporal hollowing","7"
"796","Furrowing of forehead","7"
"797","Posteriorly rotated ears","8"
"798","Cataract","9"
"799","Small nose","10"
"800","Upturned nares","10"
"801","Prominent upper lip","11"
"802","Thin vermilion border of upper lip","11"
"803","Late tooth eruption","12"
"804","Congenital heart defect","15"
"805","Aspiration pneumonia","21"
"806","Inguinal hernia","28"
"807","Omphalocele","33"
"808","Cystic kidney","39"
"809","Pelvic kidney","39"
"810","Polydactyly","47"
"811","Clinodactyly","47"
"812","Camptodactyly","47"
"813","Transverse palmar creases","50"
"814","Agyria","57"
"815","Pachygyria","57"
"816","Hypotonia early","57"
"817","Hypertonia late","57"
"818","Motor retardation","57"
"819","Decorticate posture","57"
"820","Decerebrate posture","57"
"821","Progressive spastic paraplegia","57"
"822","Infantile spasms","57"
"823","Heterotopias","57"
"824","Absent/Hypoplastic corpus callosum","57"
"825","Large cavum septi pellucidi","57"
"826","Failure of opercularization of the frontal and temporal lobes on CT","57"
"827","Midline brain calcifications","57"
"828","Decreased fetal activity","67"
"829","Cytogenetic deletion of chromosome 17p13.3","72"
"830","Fluorescence in situ hybridization specific probe for MDS critical region","72"
"831","Death often before age 2","73"
"832","Contiguous gene syndrome","73"
"833","Absence of Lutheran antigen on red blood cells","63"
"834","Lu(a-b-) phenotype","63"
"835","Presence of serum anti-Lu3 antibodies","72"
"836","No phenotypic manifestations","73"
"837","See also autosomal dominant Lutheran-null phenotype ","73"
"838","Macrocephaly","6"
"839","Enlarged head circumference (97th percentile)","6"
"840","Scaphocephaly","6"
"841","Broad forehead","7"
"842","Prognathism","7"
"843","Myopia (1 family)","9"
"844","Astigmatism (1 family)","9"
"845","Patellar subluxation (1 family)","46"
"846","Delayed psychomotor development","57"
"847","Speech delay","57"
"848","Megalencephaly","57"
"849","Enlarged corpus callosum","57"
"850","No hydrocephalus","57"
"851","Depression (1 family)","59"
"852","Psychosis (1 family)","59"
"853","Two unrelated families, one North African descent and one of Italian descent, have been reported (last curated August 2014)","73"
"854","Tapetoretinal degeneration","9"
"855","Macular coloboma","9"
"856","Nephrolithiasis","39"
"857","Nephrocalcinosis","39"
"858","Progressive renal failure","39"
"859","Renal calcium wasting","39"
"860","Renal magnesium wasting","39"
"861","Recurrent urinary tract infections","41"
"862","Hypomagnesemia","72"
"863","Normal serum calcium","72"
"864","Hypermagnesiuria","72"
"865","Hypercalciuria","72"
"866","Abdominal pain","33"
"867","Feeding problems","33"
"868","Polyuria","39"
"869","Progressive renal insufficiency","39"
"870","Tetany","55"
"871","Polydipsia","61"
"872","Incomplete distal renal tubular acidosis","61"
"873","Elevated parathyroid hormone","72"
"874","Hyperuricemia","72"
"875","Hypocitraturia","72"
"876","Hematuria","72"
"877","Abacterial leukocyturia","72"
"878","Onset in early childhood","73"
"879","Presenting symptoms - recurrent UTI, polyuria/polydipsia, hematuria, and abacterial leukocyturia","73"
"880","Hypercalciuria and/or nephrolithiasis occurs in heterozygotes","73"
"881","Perioral erythema","11"
"882","Brachydactyly","47"
"883","Congenital symmetrical palmoplantar keratosis","50"
"884","Transgressive keratosis","50"
"885","Ichthyosis","50"
"886","Lichenoid plaques","50"
"887","Fragile, lustreless nails","53"
"888","Onset in early infancy","73"
"889","Short stature","4"
"890","Dysplastic ears","8"
"891","Ear pits","8"
"892","Epicanthus inversus","9"
"893","Cleft lip, unilateral or bilateral","11"
"894","Cleft palate, unilateral or bilateral","11"
"895","Preaxial polydactyly (in 1 patient)","47"
"896","Clinodactyly (in 1 patient)","47"
"897","Diarrhea","33"
"898","Chronic constipation","33"
"899","Hypotonia","55"
"900","Developmental delay in early childhood","57"
"901","Frontotemporal atrophy","57"
"902","White matter changes on brain imaging (less common)","57"
"903","Pachygyria (less common)","57"
"904","Nodular heterotopia (less common)","57"
"905","Ketosis","72"
"906","Abnormal urinary compounds","72"
"907","Lactic acidemia","72"
"908","Mitochondrial malonyl-CoA decarboxylase activity in fibroblasts is very low (as low as 4%)","72"
"909","Symptoms may be precipitated by infection","73"
"910","Growth retardation, postnatal","4"
"911","Mandibular hypoplasia","7"
"912","Bird-like facies","7"
"913","Normal or increased facial adipose tissue","7"
"914","Full cheeks","7"
"915","Pinched nose","10"
"916","Pointed nose","10"
"917","Beak nose","10"
"918","Absence of tongue papillae","11"
"919","Dental overcrowding","12"
"920","Loss of teeth","12"
"921","Hypoplastic teeth","12"
"922","Normal or increased adipose tissue around the neck","13"
"923","Clavicular hypoplasia","24"
"924","Progressive acroosteolysis of the clavicle","24"
"925","Joint contractures","42"
"926","Joint stiffness","42"
"927","Delayed closure of cranial sutures","43"
"928","Wormian bones","43"
"929","Acroosteolysis of distal phalanges","47"
"930","Fingertip rounding","47"
"931","Acroosteolysis of distal phalanges","48"
"932","Mottled pigmentation","50"
"933","Skin atrophy (especially over hands and feet)","50"
"934","Soft tissue calcinosis","50"
"935","Alopecia, partial","54"
"936","Sparse, lusterless scalp hair","54"
"937","Partial lipodystrophy (abnormal distribution of adipose tissue)","55"
"938","Loss of subcutaneous adipose tissue from extremities","55"
"939","Normal or increased truncal adipose tissue","55"
"940","Normal or increased adipose tissue around the neck","55"
"941","Normal or increased facial adipose tissue","55"
"942","Soft tissue or tendinous calcinosis may occur","55"
"943","Insulin-resistant diabetes mellitus","62"
"944","Impaired glucose tolerance","62"
"945","Hyperglycemia","72"
"946","Hyperlipidemia","72"
"947","Hyperinsulinemia","72"
"948","Genetic heterogeneity (see MADB,","73"
"949","Allelic disorder to Dunnigan-type familial partial lipodystrophy ","73"
"950","Zygomatic complex hypoplasia","7"
"951","Microtia Hearing loss, conductive","8"
"952","Coloboma, lower eyelid","9"
"953","Eyelid coloboma","9"
"954","Oculopalpebral synechia","9"
"955","Microphthalmia, extreme","9"
"956","Anophthalmia, clinical","9"
"957","Nasolacrimal duct obstruction","9"
"958","Nasal tip groove","10"
"959","Anal stenosis","33"
"960","Anteriorly displaced anus","33"
"961","Aberrant anterolateral scalp hairline","54"
"962","Majority of cases in Manitoba Indians, northeastern Manitoba, Canada","73"
"963","Growth retardation in severe cases","4"
"964","Flat occiput","6"
"965","Coarse facies","7"
"966","Frontal bossing","7"
"967","Sensorineural deafness","8"
"968","Heavy eyebrows","9"
"969","Lenticular 'spoke-like' opacities","9"
"970","Retinal degeneration in adult patients, progressive","9"
"971","Impaired smooth pursuit in adult patients","9"
"972","Nystagmus in adult patients","9"
"973","Flat nose","10"
"974","Macroglossia","11"
"975","Gingival hypertrophy","11"
"976","Widely-spaced teeth","12"
"977","Pectus carinatum","23"
"978","Thick, undertubulated ribs","24"
"979","Splenomegaly","32"
"980","Inguinal hernia (in some patients)","35"
"981","Dysostosis multiplex","42"
"982","Thickening of the calvaria","43"
"983","Abnormal vertebral bodies (ovoid, flat, beaked)","44"
"984","Increased vertebral height","44"
"985","Thoracolumbar gibbus deformity","44"
"986","Spondylolisthesis","44"
"987","Bowed femurs","46"
"988","Hypertrichosis","54"
"989","Low anterior hairline","54"
"990","Anterior hair whorl","54"
"991","Heavy eyebrows","54"
"992","Mental retardation from rapid mental regression","57"
"993","Impaired speech","57"
"994","Nerve cells show ballooning with membrane-bound vesicles with reticulogranular pattern","57"
"995","Corticospinal tract disease in lower limbs (in adulthood)","57"
"996","Spinocerebellar tract disease in lower limbs (in adulthood)","57"
"997","Gait ataxia","57"
"998","Limb ataxia","57"
"999","Spasticity","57"
"1000","Extensor plantar responses","57"
"1001","Dysarthria","57"
"1002","Nystagmus","57"
"1003","Impaired smooth pursuit ocular movements","57"
"1004","Cerebellar atrophy (in adulthood)","57"
"1005","White matter changes may occur (in adulthood)","57"
"1006","Cerebral atrophy (in adulthood)","57"
"1007","Delayed myelination","57"
"1008","Gliosis","57"
"1009","Vacuolated lymphocytes","63"
"1010","Decreased serum immunoglobulin","64"
"1011","Increased urinary mannose-containing oligosaccharides","72"
"1012","Decreased lysosomal alpha-mannosidase activity in plasma and leukocytes","72"
"1013","Wide phenotypic variability and severity","73"
"1014","Neurologic symptoms are progressive","73"
"1015","Most patients show early childhood onset after a period of normal development","73"
"1016","Some patients show infantile onset","73"
"1017","Some patients show onset later in childhood","73"
"1018","Mild facial dysmorphism may occur","7"
"1019","Tortuosity of conjunctival vessels","9"
"1020","Tortuosity of conjunctival vessels","16"
"1021","Angiokeratoma","50"
"1022","Cytoplasmic vacuolization","51"
"1023","Thenar amyotrophy (rare)","55"
"1024","Speech impairment","57"
"1025","Gilles de la Tourette syndrome (reported in 1 patient)","57"
"1026","Demyelinating peripheral neuropathy, progressive (rare)","58"
"1027","Aggression","59"
"1028","Hyperactivity","59"
"1029","Recurrent infections","64"
"1030","Decreased beta-mannosidase activity in plasma, fibroblasts, and leukocytes","72"
"1031","Increased urinary disaccharides (mannosyl-N-acetylglucosamine)","72"
"1032","Mental retardation if untreated","57"
"1033","Hypertonia","57"
"1034","Cerebral edema","57"
"1035","Hallucinations","57"
"1036","Brain MRI shows diffusion abnormalities","57"
"1037","White matter signal abnormalities in various brain regions","57"
"1038","Life-threatening metabolic decompensation","61"
"1039","Ketosis","61"
"1040","Lactic acidosis in E3-deficiency","61"
"1041","Elevated plasma branched chain amino acids (leucine, isoleucine, valine)","72"
"1042","Maple syrup urine odor","72"
"1043","Branched chain ketoaciduria (alpha-keto isocaproate, alpha-keto-beta methylisovalerate, alpha-keto isovalerate)","72"
"1044","Elevated plasma alloisoleucine","72"
"1045","Positive urine DNPH screening test","72"
"1046","Five clinical variants of MSUD unassociated with genotype","73"
"1047","(1) Classic severe (onset of symptoms 4 to 7 days of age)","73"
"1048","(2) Intermittent","73"
"1049","(3) Intermediate","73"
"1050","(4) Thiamine-responsive form","73"
"1051","(5) Dihydrolipoyl dehydrogenase (E3)-deficient","73"
"1052","Worldwide incidence of 1 in 185,000 live births","73"
"1053","In inbred Old Order Mennonite population of Lancaster County, MSUD prevalence is 1/176 newborns","73"
"1054","Death in untreated children","73"
"1055","Prenatal growth deficiency","4"
"1056","Postnatal growth deficiency","4"
"1057","Large anterior fontanel","6"
