"pid","description","tid","des_ch"
"550","Hearing impairment (rare)","8","听力障碍（罕见）"
"551","Respiratory insufficiency","17","呼吸功能不全"
"552","Respiratory failure","17","呼吸衰竭"
"553","Feeding difficulties","33","喂养困难"
"554","Hyperhidrosis","50",
"555","Hypotonia, axial, severe","55","低血压，轴向，严重"
"556","Inability to sit or hold head up","55","无法坐下或抬头"
"557","Muscle atrophy","55","肌肉萎缩"
"558","Cox-negative fibers seen on muscle biopsy","55","在肌肉活检中看到的Cox阴性纤维"
"559","Ragged red fibers","55","衣衫褴褛的红色纤维"
"560","Decreased activity and protein levels of respiratory chain complexes I, II, III, and IV","55","呼吸链复合物I，II，III和IV的活性和蛋白质水平降低"
"561","Mitochondrial DNA depletion","55","线粒体DNA耗尽"
"562","Delayed psychomotor development, severe","57","精神运动发育迟缓，严重"
"563","Mental retardation, severe","57","精神发育迟滞，严重"
"564","Cerebral atrophy","57","脑萎缩"
"565","Widening of the ventricles","57","扩大心室"
"566","Brain MRI shows lesions in the basal ganglia","57","脑MRI显示基底神经节的病变"
"567","Hypoglycemia","61",
"568","Methylmalonic aciduria","72",
"569","Increased lactate in spinal fluid","72",
"570","Severe disorder","73",
"571","Death usually in infancy","73",
"572","Variable phenotype","73",
"573","Delayed cognitive development (in some patients)","57","延迟认知发展（在一些患者中）"
"574","Mental retardation (in some patients)","57","精神发育迟滞（某些患者）"
"575","Learning difficulties","57","学习困难"
"576","Seizures, focal","57","癫痫发作，焦点"
"577","Rolandic epilepsy","57","Rolandic癫痫病"
"578","Speech and language difficulties","57","言语和语言困难"
"579","Verbal dyspraxia","57","言语性运动障碍"
"580","Dysphasia","57","言语障碍"
"581","Secondary seizures (in some patients)","57","继发性癫痫发作（部分患者）"
"582","Other seizure types (in some patients)","57","其他癫痫发作类型（部分患者）"
"583","EEG shows centrotemporal spike-wave discharges","57","脑电图显示中心颞尖波放电"
"584","Continuous spike-waves during slow-wave sleep","57","慢波睡眠期间持续的尖峰波"
"585","Autistic features","59",
"586","Attention deficit","59",
"587","Onset of seizures in infancy or early childhood","73",
"588","Seizures may remit in adolescence","73",
"589","Highly variable severity","73",
"590","Midface hypoplasia","7","中面发育不全"
"591","Prominent forehead","7","突出的额头"
"592","Micrognathia (in some patients)","7","Micrognathia（在一些患者中）"
"593","Microretrognathia (in some patients)","7","微小颌畸形（部分患者）"
"594","Flat face (in one patient)","7","平面（一名患者）"
"595","Dysmorphic ears","8","变形的耳朵"
"596","Small ears","8","小耳朵"
"597","Prominent antitragus (in some patients)","8","突出的反耳屏（在一些患者中）"
"598","Uplift of earlobes (in some patients)","8","耳垂隆起（部分患者）"
"599","Large eyes","9","大眼睛"
"600","Protuberant eyes","9","突出的眼睛"
"601","Hypertelorism (in some patients)","9","高血压（某些患者）"
"602","Downslanting palpebral fissures","9","下垂睑裂"
"603","Blue sclerae (in some patients)","9","蓝色巩膜（部分患者）"
"604","Hyperopia","9","远视"
"605","Esotropia","9","内斜视"
"606","Amblyopia","9","弱视"
"607","Thick eyebrows (in some patients)","9","浓密的眉毛（在一些患者中）"
"608","Small mouth","11","小嘴巴"
"609","Cleft palate (rare)","11","腭裂（罕见）"
"610","Small teeth","12","小牙齿"
"611","Extensive caries","12","广泛的龋齿"
"612","Webbed neck (in some patients)","13","蹼颈（某些患者）"
"613","Low posterior hairline","13","低后发际线"
"614","Cardiomegaly","15","心脏扩大"
"615","Left ventricular hypertrophy","15","左心室肥大"
"616","Mitral valve prolapse","15","二尖瓣脱垂"
"617","Patent foramen ovale","15","卵圆形专利孔"
"618","Aortic root dilatation","16","主动脉根部扩张"
"619","Pulmonary artery dilation, mild (in one patient)","16","肺动脉扩张，轻度（一名患者）"
"620","Restrictive lung disease secondary to small thorax (rare)","21","继发于小胸部的限制性肺病（罕见）"
"621","Pectus carinatum (in some patients)","23","Pectus carinatum（在一些患者中）"
"622","Narrow chest","23","狭窄的胸部"
"623","Chest asymmetry, mild","23","胸部不对称，轻度"
"624","Gracile ribs (in one patient)","24","Gracile肋骨（一名患者）"
"625","11 pairs of ribs (rare)","24","11对肋骨（罕见）"
"626","Protrusion of abdomen (in some patients)","28","腹部突出（部分患者）"
"627","Inguinal hernia (in some patients)","28","腹股沟疝（部分患者）"
"628","Diaphragmatic hernia (in some patients)","28","膈疝（部分患者）"
"629","Hyperextensibility of large joints","42","大关节的过度伸展性"
"630","Generalized osteoporosis (in some patients)","42","广泛性骨质疏松症（部分患者）"
"631","Early bone maturation (in some patients)","42","早期骨骼成熟（在一些患者中）"
"632","Dissociated bone age (in some patients)","42","解剖骨龄（部分患者）"
"633","Multiple fractures (rare)","42","多发性骨折（罕见）"
"634","Scoliosis","44","脊柱侧弯"
"635","Osteopenia evident in childhood","44","儿童期骨质减少明显"
"636","Atlanto-axial instability (in one patient)","44","寰枢椎不稳（一名患者）"
"637","Atlanto-occipital instability (in one patient)","44","寰枕不稳（一名患者）"
"638","Hip dislocation","45","髋关节脱臼"
"639","Mild dysplasia of hip joints","45","轻度发育不良的髋关节"
"640","Dysmorphic appearance of femoral head (in one patient)","45","股骨头的变形外观（一名患者）"
"641","Gibbus deformity at L1 level (in one patient)","45","L1水平的Gibbus畸形（一名患者）"
"642","Shoulder dislocation (in some patients)","46","肩关节脱位（部分患者）"
"643","Elbow dislocation, bilateral","46","肘关节脱位，双侧"
"644","Elbow contracture","46","肘部挛缩"
"645","Rhizomelic shortening (in some patients)","46","根状茎缩短（在一些患者中）"
"646","Radioulnar synostosis (in some patients)","46","Radioulnar骨质疏松症（在一些患者中）"
"647","Knee dislocation, bilateral","46","膝关节脱位，双侧"
"648","Diaphyseal incurving (in some patients)","46","干骺端弯曲（某些患者）"
"649","Dysplasia of proximal humerus (in one patient)","46","肱骨近端发育不良（一名患者）"
"650","Dysplasia of glenoid (in one patient)","46","关节盂发育不良（一名患者）"
"651","Dysplasia of distal humerus (in one patient)","46","肱骨远端发育不良（一名患者）"
"652","Dysplasia of radial head (in one patient)","46","桡骨头发育不良（一名患者）"
"653","Bowing of the radius and ulna (in one patient)","46","桡骨和尺骨鞠躬（一名患者）"
"654","Genu valgum (in one patient)","46","Genu valgum（一名患者）"
"655","Flared epiphyses (in one patient)","46","扩张性骨骺（一名患者）"
"656","Wrist joint laxity","47","手腕关节松弛"
"657","Wrist joint dislocation (in some patients)","47","腕关节脱位（部分患者）"
"658","Interphalangeal joint laxity","47","指间关节松弛"
"659","Increased number of carpal ossification centers","47","腕骨骨化中心数量增加"
"660","Metacarpal shortening","47","掌骨缩短"
"661","Broad ends of fingers ('pseudoclubbing')","47","手指的宽端（'假阴茎'）"
"662","Spatulate thumb","47","Spatulate拇指"
"663","Metacarpophalangeal joint hyperextensibility (in one patient)","47","掌指关节过度伸展（一名患者）"
"664","Broad ends of toes","48","脚趾宽阔"
"665","Talipes equinovarus","48","马蹄内翻足"
"666","Talipes equinovalgus","48","Talipes equinovalgus"
"667","Sandal gap (in one patient)","48","凉鞋间隙（一名患者）"
"668","Hyperextensible skin (in some patients)","50",
"669","Excessive skin wrinkling of palms and soles (in one patient)","50",
"670","Thick eyebrows","54",
"671","Low posterior hairline","54",
"672","Hypotonia, generalized (in some patients)","55","Hypotonia，一般化（某些患者）"
"673","Hydrocephalus (rare)","57","脑积水（罕见）"
"674","Arrested hydrocephalus (rare)","57","被捕脑积水（罕见）"
"675","Verbal delay (in some patients)","57","言语延迟（部分患者）"
"676","Motor delay (in one patient)","57","电机延迟（一名患者）"
"677","Generalized cortical atrophy (in one patient)","57","广泛性皮质萎缩（一名患者）"
"678","No obesity","3",
"679","Pigmentary retinopathy","9","色素性视网膜病变"
"680","Choroidal atrophy","9","脉络膜萎缩"
"681","Hypoplastic scrotum","35","阴囊增生"
"682","No polydactyly","47","没有多指教"
"683","Mutation in PNPLA6 identified in 1 Laurence-Moon syndrome family (last curated March 2015)","73",
"684","Corneal lipid deposits","9","角膜脂质沉积"
"685","Normochromic anemia","63",
"686","Hemolytic anemia","63",
"687","Decreased plasma esterified cholesterol","72",
"688","Decreased apoA-I and apoA-II","72",
"689","Decreased plasma HDL (<1/10 of normal levels)","72",
"690","Increased plasma free cholesterol","72",
"691","Increased plasma triglycerides","72",
"692","Increased plasma phospholipids","72",
"693","Decreased lecithin:cholesterol acyltransferase mass and activity","72",
"694","Foam cells in bone marrow and renal glomeruli","72",
"695","Prenatal growth retardation","4",
"696","Severe failure to thrive","4",
"697","Elfin facies","7","小精灵相"
"698","Small face","7","小脸"
"699","Large ears","8","大耳朵"
"700","Prominent eyes","9","突出的眼睛"
"701","Wide nostrils","10","宽鼻孔"
"702","Thick lips","11","厚嘴唇"
"703","Gingival hyperplasia","11","牙龈增生"
"704","Breast hyperplasia (female)","25","乳腺增生（女性）"
"705","Prominent nipples","25","突出的乳头"
"706","Abdominal distention","28","腹胀"
"707","Cholestasis","29","胆汁淤积"
"708","Hepatic fibrosis","29","肝纤维化"
"709","Islets of Langerhans hyperplasia","30","小岛朗格汉斯增生"
"710","Large penis","35","大阴茎"
"711","Large clitoris","36","大阴蒂"
"712","Leydig cell hyperplasia","37","睾丸间质细胞增生"
"713","Cystic ovaries","38","囊性卵巢"
"714","Large hands","47","大手"
"715","Large feet","48","大脚"
"716","Acanthosis nigricans","50",
"717","Pachyderma","50",
"718","Hyperkeratosis","50",
"719","Dysplastic nails","53",
"720","Hypertrichosis (body, face)","54",
"721","Marked lack of adipose tissue","55","明显缺乏脂肪组织"
"722","Muscle wasting","55","肌肉萎缩"
"723","Hyperinsulinemia","62",
"724","Precocious puberty","62",
"725","Frequent infections","64",
"726","Decreased lymphatic tissue (tonsil, thymus, mesenteric nodes, Peyer patches)","64",
"727","Juvenile ovarian granulosa cell tumor","65",
"728","Elevated plasma insulin","72",
"729","Absent anti-insulin receptor antibodies","72",
"730","Postprandial hyperglycemia","72",
"731","Fasting hypoglycemia","72",
"732","Death often in early infancy","73",
"733","Susceptibility to infection by Mycobacterium leprae causing leprosy","64",
"734","See","73",
"735","Growth retardation","4",
"736","Fat malabsorption","33","脂肪吸收不良"
"737","Severe diarrhea","33","严重腹泻"
"738","Steatorrhea","33","脂肪泻"
"739","Malnutrition","33","营养不良"
"740","Jejunal endoscopy shows white epithelium","33","空肠内窥镜检查显示白色上皮"
"741","Small bowel enterocytes accumulate lipid droplets in membrane-bound compartments or in the cytoplasm","33","小肠肠细胞在膜结合区室或细胞质中积聚脂滴"
"742","Neurologic deficits may occur secondarily to malabsorption","58","神经系统缺陷可能继发于吸收不良"
"743","Peripheral neuropathy","58","周围神经病变"
"744","Diminished or absent deep tendon reflexes","58","深腱反射减弱或缺失"
"745","Diminished vibratory sense","58","减少振动感"
"746","Hypocholesterolemia","72",
"747","Deficiency of fat-soluble vitamins","72",
"748","Normal serum triglycerides","72",
"749","Absence of chylomicrons in lymph and plasma","72",
"750","Defect in chylomicron secretion","72",
"751","Hypobetalipoproteinemia","72",
"752","Hypertrophic cardiomyopathy","15","肥厚型心肌病"
"753","Hepatomegaly (in some patients)","29","肝肿大（部分患者）"
"754","Liver dysfunction (in some patients)","29","肝功能不全（某些患者）"
"755","Vomiting, recurrent, severe","33","呕吐，反复发作，严重"
"756","Poor feeding","33","喂食不好"
"757","Encephalopathy, episodic","57","脑病，发作性"
"758","Delayed psychomotor development (in most patients)","57","延迟精神运动发育（大多数患者）"
"759","Leigh syndrome (in some patients)","57","Leigh综合征（某些患者）"
"760","Episodic decompensation","61",
"761","Hypoglycemia","72",
"762","Elevated pyruvate (in most patients)","72",
